age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,36,United-States,<=50K
46,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,61,Greece,<=50K
34,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,36,United-States,<=50K
30,Private,HS-grad,9,Never-married,Tech-support,Own-child,Black,Female,38,United-States,<=50K
25,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Male,37,United-States,<=50K
33,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Other,Male,33,United-States,<=50K
23,Private,Some-college,11,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K
42,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,39,United-States,<=50K
28,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,36,United-States,<=50K
55,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,7,United-States,<=50K
24,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,44,United-States,>50K
29,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7,United-States,>50K
24,Local-gov,Some-college,11,Never-married,Transport-moving,Own-child,White,Male,30,?,<=50K
30,Private,HS-grad,9,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,25,Philippines,<=50K
54,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,38,United-States,<=50K
31,Federal-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,37,United-States,>50K
33,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,37,United-States,>50K
20,State-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,United-States,>50K
30,Local-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Female,36,United-States,<=50K
35,Self-emp-not-inc,Bachelors,13,Married-spouse-absent,Farming-fishing,Other-relative,White,Male,37,United-States,<=50K
85,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,25,United-States,<=50K
64,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Female,38,United-States,<=50K
29,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,39,United-States,<=50K
25,Self-emp-not-inc,Assoc-acdm,12,Married-spouse-absent,Farming-fishing,Unmarried,White,Male,38,United-States,<=50K
38,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,26,United-States,<=50K
47,Self-emp-not-inc,Assoc-acdm,12,Never-married,Farming-fishing,Own-child,White,Male,43,United-States,<=50K
23,Private,Masters,14,Married-civ-spouse,Craft-repair,Husband,Black,Female,38,United-States,<=50K
47,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,65,United-States,<=50K
42,Private,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Male,43,United-States,<=50K
45,Self-emp-not-inc,11th,7,Married-civ-spouse,Tech-support,Husband,White,Female,40,United-States,<=50K
33,Private,Some-college,10,Widowed,Transport-moving,Not-in-family,White,Female,40,United-States,<=50K
28,Private,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Female,46,United-States,<=50K
40,Private,Bachelors,13,Never-married,Handlers-cleaners,Own-child,Black,Male,38,United-States,<=50K
41,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,34,United-States,<=50K
31,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Female,44,United-States,<=50K
47,?,Assoc-acdm,12,Divorced,?,Not-in-family,White,Male,37,United-States,<=50K
37,Private,Some-college,11,Married-civ-spouse,Craft-repair,Husband,White,Male,65,United-States,>50K
31,Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,36,United-States,>50K
19,Private,Some-college,10,Separated,Handlers-cleaners,Unmarried,White,Female,43,United-States,>50K
31,Local-gov,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Male,36,United-States,<=50K
37,State-gov,Bachelors,14,Married-civ-spouse,Adm-clerical,Wife,Black,Male,33,United-States,<=50K
35,Self-emp-not-inc,10th,6,Never-married,Farming-fishing,Other-relative,White,Male,36,United-States,<=50K
34,Private,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,46,Taiwan,<=50K
34,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,37,United-States,>50K
33,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,64,United-States,>50K
23,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,52,United-States,<=50K
40,Private,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,Black,Female,31,United-States,<=50K
30,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K
40,Private,10th,6,Married-civ-spouse,Sales,Husband,Black,Male,20,United-States,<=50K
40,Private,10th,6,Never-married,Sales,Not-in-family,White,Male,38,United-States,<=50K
18,Private,7th-8th,4,Divorced,Sales,Not-in-family,White,Male,52,United-States,<=50K
41,Private,12th,8,Never-married,Other-service,Own-child,White,Male,19,Honduras,<=50K
30,Private,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,White,Female,37,United-States,<=50K
55,Private,Bachelors,13,Separated,Transport-moving,Unmarried,White,Female,71,United-States,<=50K
54,Local-gov,5th-6th,3,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Male,38,Philippines,<=50K
53,Private,Some-college,11,Married-civ-spouse,Other-service,Own-child,White,Male,36,United-States,<=50K
28,Private,Bachelors,14,Never-married,Machine-op-inspct,Own-child,Black,Female,7,United-States,<=50K
46,Private,Bachelors,14,Married-civ-spouse,Transport-moving,Husband,White,Male,32,United-States,>50K
24,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,29,United-States,<=50K
31,?,HS-grad,9,Never-married,?,Not-in-family,White,Female,34,United-States,<=50K
28,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Female,64,United-States,<=50K
34,Private,9th,5,Never-married,Machine-op-inspct,Own-child,Black,Male,38,United-States,<=50K
40,Local-gov,Some-college,11,Never-married,Other-service,Not-in-family,White,Male,31,Mexico,<=50K
31,?,HS-grad,9,Divorced,?,Not-in-family,White,Male,36,United-States,<=50K
58,Self-emp-not-inc,7th-8th,5,Divorced,Farming-fishing,Unmarried,White,Female,40,United-States,<=50K
42,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Female,21,United-States,<=50K
38,Private,11th,7,Married-civ-spouse,Other-service,Husband,Black,Male,16,Haiti,<=50K
39,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,37,United-States,<=50K
34,Federal-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,23,United-States,<=50K
28,Self-emp-not-inc,10th,6,Divorced,Craft-repair,Not-in-family,White,Female,38,United-States,<=50K
48,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,41,United-States,<=50K
55,Federal-gov,11th,7,Never-married,Other-service,Own-child,Black,Male,17,United-States,<=50K
34,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,38,United-States,<=50K
32,?,Bachelors,13,Widowed,?,Other-relative,White,Female,53,United-States,<=50K
60,Self-emp-not-inc,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,36,United-States,<=50K
24,Private,Some-college,11,Never-married,Prof-specialty,Unmarried,White,Female,35,United-States,<=50K
28,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,36,United-States,<=50K
34,Local-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,36,United-States,<=50K
41,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,37,United-States,<=50K
19,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Female,38,United-States,<=50K
27,Private,9th,5,Divorced,Adm-clerical,Not-in-family,White,Male,36,United-States,<=50K
43,Federal-gov,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male,39,United-States,<=50K
53,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K
58,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,54,United-States,>50K
21,State-gov,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,28,United-States,<=50K
49,Private,Bachelors,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,61,United-States,<=50K
22,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,55,Germany,>50K
38,Private,Bachelors,14,Married-civ-spouse,Adm-clerical,Wife,White,Male,54,United-States,>50K
28,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,United-States,<=50K
39,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,63,United-States,<=50K
38,Private,Bachelors,14,Never-married,Exec-managerial,Not-in-family,White,Male,36,United-States,<=50K
24,State-gov,HS-grad,9,Widowed,Prof-specialty,Not-in-family,White,Female,34,United-States,<=50K
30,Private,Some-college,11,Never-married,Sales,Not-in-family,White,Female,18,United-States,<=50K
20,Self-emp-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,71,United-States,>50K
44,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,39,United-States,>50K
30,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,36,Puerto-Rico,<=50K
32,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Male,37,United-States,>50K
63,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K
56,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,36,United-States,<=50K
34,Private,7th-8th,4,Never-married,Tech-support,Own-child,White,Male,37,United-States,<=50K
48,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,50,United-States,<=50K
51,Private,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,54,United-States,<=50K
32,Self-emp-not-inc,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,31,Guatemala,<=50K
39,Local-gov,Masters,14,Married-civ-spouse,Adm-clerical,Wife,White,Female,31,United-States,>50K
43,Private,7th-8th,4,Never-married,Other-service,Other-relative,White,Male,31,United-States,<=50K
31,Private,Prof-school,15,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Female,61,Japan,>50K
51,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Male,38,United-States,<=50K
54,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,38,United-States,<=50K
25,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,27,United-States,<=50K
53,Private,Masters,14,Married-civ-spouse,Machine-op-inspct,Wife,White,Male,4,?,<=50K
46,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,35,United-States,<=50K
32,Self-emp-inc,Some-college,10,Divorced,Sales,Unmarried,Black,Male,29,United-States,<=50K
37,Private,Some-college,11,Divorced,Handlers-cleaners,Own-child,White,Male,50,Mexico,>50K
25,Private,Some-college,10,Widowed,Craft-repair,Not-in-family,White,Female,60,Iran,<=50K
40,Local-gov,Some-college,11,Divorced,Other-service,Unmarried,White,Male,39,United-States,<=50K
25,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,59,United-States,<=50K
30,Private,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,42,United-States,>50K
51,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,61,United-States,<=50K
43,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,37,United-States,<=50K
37,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,20,United-States,<=50K
28,State-gov,Prof-school,15,Never-married,Protective-serv,Not-in-family,White,Male,38,United-States,>50K
58,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,25,United-States,<=50K
35,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,37,United-States,<=50K
47,Local-gov,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Female,44,United-States,<=50K
29,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,38,United-States,<=50K
42,?,5th-6th,3,Married-civ-spouse,?,Husband,Black,Male,36,United-States,<=50K
49,?,Some-college,10,Never-married,?,Unmarried,White,Female,13,United-States,<=50K
57,Self-emp-inc,HS-grad,9,Widowed,Prof-specialty,Unmarried,White,Female,37,United-States,<=50K
29,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,8,United-States,<=50K
52,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,52,United-States,>50K
31,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,55,United-States,<=50K
25,?,Some-college,11,Never-married,?,Own-child,White,Female,36,United-States,<=50K
27,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Female,37,United-States,>50K
27,Private,Bachelors,14,Widowed,Tech-support,Not-in-family,Black,Female,39,United-States,<=50K
62,Self-emp-not-inc,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,60,United-States,<=50K
43,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,38,United-States,<=50K
23,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,35,Mexico,<=50K
59,Private,Bachelors,14,Married-civ-spouse,Exec-managerial,Wife,White,Male,39,United-States,>50K
47,Private,Some-college,11,Divorced,Handlers-cleaners,Not-in-family,Black,Female,53,Dominican-Republic,<=50K
55,Private,Some-college,11,Married-civ-spouse,Exec-managerial,Husband,White,Female,43,United-States,<=50K
22,Private,Some-college,11,Never-married,Adm-clerical,Own-child,White,Female,37,United-States,<=50K
34,Private,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,62,United-States,<=50K
19,?,HS-grad,9,Never-married,?,Not-in-family,White,Female,41,United-States,<=50K
22,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Female,39,United-States,>50K
29,Federal-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,20,United-States,<=50K
20,Private,Assoc-voc,11,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,47,United-States,<=50K
54,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,44,United-States,<=50K
45,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K
43,Self-emp-inc,10th,6,Never-married,Sales,Own-child,White,Male,14,United-States,<=50K
31,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,42,United-States,>50K
51,Self-emp-inc,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,40,United-States,<=50K
32,Private,11th,7,Never-married,Sales,Own-child,White,Male,13,United-States,<=50K
40,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,38,United-States,>50K
22,State-gov,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,23,United-States,<=50K
24,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Male,41,United-States,<=50K
47,Private,Bachelors,14,Separated,Other-service,Not-in-family,White,Female,72,United-States,<=50K
29,Private,Some-college,10,Divorced,Sales,Unmarried,White,Female,47,United-States,<=50K
40,Self-emp-not-inc,Some-college,11,Never-married,Other-service,Own-child,White,Male,38,United-States,<=50K
31,Private,HS-grad,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,37,United-States,<=50K
41,?,Some-college,10,Divorced,?,Unmarried,White,Male,38,United-States,<=50K
38,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,39,United-States,<=50K
63,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,35,United-States,<=50K
22,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,21,United-States,>50K
48,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,36,United-States,<=50K
19,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,37,United-States,<=50K
28,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,36,Iran,>50K
32,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,36,United-States,<=50K
36,Private,11th,8,Divorced,Transport-moving,Not-in-family,White,Male,17,United-States,<=50K
18,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,36,United-States,<=50K
38,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,71,United-States,>50K
37,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,31,United-States,<=50K
46,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K
37,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,55,United-States,>50K
51,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,65,Greece,>50K
48,Private,Some-college,11,Never-married,Handlers-cleaners,Not-in-family,White,Female,39,United-States,<=50K
23,Private,Some-college,10,Separated,Prof-specialty,Unmarried,White,Female,36,United-States,<=50K
40,Private,12th,8,Never-married,Protective-serv,Not-in-family,White,Male,27,United-States,<=50K
30,Private,Some-college,10,Never-married,Sales,Unmarried,Black,Male,42,United-States,<=50K
28,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,36,Cuba,>50K
41,Private,Assoc-acdm,12,Widowed,Machine-op-inspct,Unmarried,White,Male,39,United-States,>50K
22,Private,Some-college,11,Married-civ-spouse,Craft-repair,Husband,White,Male,68,United-States,>50K
43,Federal-gov,Some-college,11,Divorced,Adm-clerical,Not-in-family,White,Female,42,United-States,<=50K
59,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,38,United-States,<=50K
30,Self-emp-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,37,Philippines,<=50K
45,Private,Some-college,11,Never-married,Adm-clerical,Own-child,Black,Male,35,United-States,<=50K
27,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,53,United-States,>50K
38,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,38,United-States,>50K
52,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,81,United-States,>50K
40,Private,Some-college,10,Never-married,Prof-specialty,Unmarried,White,Male,52,United-States,<=50K
55,Private,7th-8th,5,Divorced,Transport-moving,Not-in-family,White,Male,37,United-States,<=50K
56,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,54,United-States,>50K
27,Private,Some-college,11,Divorced,Adm-clerical,Unmarried,White,Male,27,United-States,<=50K
49,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,<=50K
36,Federal-gov,HS-grad,9,Divorced,Protective-serv,Unmarried,Asian-Pac-Islander,Male,40,United-States,>50K
32,Self-emp-inc,Bachelors,14,Divorced,Craft-repair,Other-relative,White,Male,46,United-States,<=50K
23,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,>50K
17,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Female,68,United-States,<=50K
23,Self-emp-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,38,United-States,>50K
53,Private,Masters,14,Divorced,Adm-clerical,Not-in-family,White,Male,38,United-States,<=50K
29,Private,11th,7,Never-married,Sales,Not-in-family,White,Female,22,United-States,<=50K
19,?,Assoc-voc,11,Divorced,?,Unmarried,White,Male,35,United-States,<=50K
40,Self-emp-not-inc,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Male,71,United-States,<=50K
36,Private,10th,6,Married-civ-spouse,Craft-repair,Wife,White,Male,38,United-States,<=50K
27,Local-gov,10th,6,Married-civ-spouse,Protective-serv,Husband,White,Male,36,United-States,<=50K
24,Private,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Female,59,United-States,<=50K
57,?,Doctorate,16,Married-civ-spouse,?,Husband,White,Male,44,United-States,>50K
19,Local-gov,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,42,Greece,<=50K
39,State-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,41,United-States,<=50K
58,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,49,United-States,<=50K
52,Private,Some-college,10,Never-married,Priv-house-serv,Own-child,White,Male,20,United-States,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Male,39,El-Salvador,>50K
58,Private,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,37,United-States,>50K
46,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,39,Taiwan,>50K
68,Private,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Male,36,United-States,<=50K
64,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,42,United-States,>50K
55,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,52,United-States,<=50K
50,Private,Some-college,11,Married-civ-spouse,Exec-managerial,Husband,White,Female,45,United-States,<=50K
22,State-gov,9th,5,Never-married,Adm-clerical,Own-child,White,Male,24,United-States,<=50K
52,?,Assoc-voc,11,Divorced,?,Not-in-family,White,Male,39,United-States,<=50K
42,Private,Bachelors,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,37,United-States,<=50K
75,State-gov,HS-grad,9,Separated,Transport-moving,Unmarried,Black,Male,38,United-States,<=50K
36,Private,5th-6th,3,Never-married,Adm-clerical,Own-child,White,Male,39,United-States,<=50K
30,Private,12th,8,Never-married,Adm-clerical,Not-in-family,Black,Male,39,United-States,<=50K
41,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K
44,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,32,United-States,<=50K
24,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K
18,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Female,43,United-States,<=50K
24,Private,Some-college,10,Never-married,Sales,Not-in-family,Other,Male,39,United-States,<=50K
35,State-gov,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Female,52,United-States,<=50K
23,Private,Some-college,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,United-States,>50K
37,Private,1st-4th,2,Widowed,Prof-specialty,Not-in-family,White,Male,37,United-States,<=50K
35,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,54,United-States,>50K
31,Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male,35,United-States,<=50K
28,Self-emp-not-inc,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,Male,55,United-States,<=50K
28,Private,5th-6th,3,Divorced,Sales,Own-child,Black,Male,37,United-States,<=50K
27,Self-emp-not-inc,12th,8,Married-civ-spouse,Farming-fishing,Husband,White,Female,54,United-States,<=50K
49,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Female,37,United-States,<=50K
34,Private,Some-college,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,52,United-States,>50K
20,Local-gov,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,36,United-States,<=50K
39,Private,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K
78,Private,10th,6,Divorced,Prof-specialty,Not-in-family,Black,Female,40,Jamaica,<=50K
26,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Female,45,?,<=50K
48,Private,Some-college,10,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,17,United-States,<=50K
32,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,38,United-States,>50K
23,Private,Bachelors,13,Divorced,Craft-repair,Unmarried,White,Female,10,Philippines,<=50K
17,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,17,United-States,<=50K
43,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Female,38,Mexico,<=50K
36,Private,Assoc-voc,11,Divorced,Other-service,Unmarried,Black,Male,38,United-States,<=50K
24,Private,Bachelors,14,Married-civ-spouse,Craft-repair,Husband,White,Female,53,United-States,<=50K
42,Private,Some-college,11,Married-spouse-absent,Handlers-cleaners,Other-relative,White,Female,38,United-States,<=50K
40,Private,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,36,United-States,<=50K
41,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,41,United-States,<=50K
57,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Female,37,United-States,<=50K
32,Private,Some-college,11,Widowed,Adm-clerical,Not-in-family,White,Male,9,United-States,<=50K
35,State-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,18,United-States,<=50K
44,Private,Some-college,11,Divorced,Adm-clerical,Unmarried,White,Male,35,United-States,<=50K
77,?,10th,6,Never-married,?,Own-child,White,Female,54,United-States,<=50K
30,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,62,United-States,<=50K
